gene,Z40dpf_MTB,Z40dpf_MT,Z60_dpf_MTB,Z60dpf_MT,ZEM_32,combined_adjpval
gene-nfkbiz|nfkbiz,0.280655812,1.01E-07,0.05700921,4.29E-65,0.86408995,0
gene-rpl24|rpl24,0.615907752,1.85E-21,0.428510707,1.83E-47,0.998285831,0
gene-cep97|cep97,0.929630608,1.04E-11,0.622695721,8.82E-33,0.843418218,0
gene-zgc:163025|zgc:163025,0.58795658,0.000144314,0.536216227,7.78E-06,0.998285831,9.38E-06
gene-si:zfos-1011f11.1|si:zfos-1011f11.1,0.048563451,0.007241823,2.70E-05,0.246752888,0.998285831,4.21E-05
gene-f7|f7,NA,0.214801181,0.302247509,0.06553818,0.629636085,0.234879596
gene-f7i|f7i,NA,0.803128253,NA,0.002936109,0.998285831,0.095384816
gene-f10|f10,0.29789543,1.61E-27,0.530690645,1.11E-21,0.999052375,0
gene-LOC100332762|LOC100332762,0.000251515,0.00018697,5.52E-05,9.73E-15,0.998285831,0
gene-eed|eed,0.669615235,5.60E-28,0.08126082,2.75E-117,0.998285831,0
gene-tmem39a|tmem39a,0.517475316,0.3798241,0.120321016,0.554785842,0.998285831,0.72291371
gene-ildr1a|ildr1a,0.122952168,2.00E-32,0.051007828,6.62E-84,0.998285831,0
gene-hikeshi|hikeshi,0.044417165,8.21E-05,0.496251567,1.41E-08,0.998285831,3.29E-09
gene-prozb|prozb,0.305969603,0.170097535,0.776689383,0.421663427,0.998285831,0.776534634
gene-pcid2|pcid2,0.862561967,1.75E-24,0.402844894,5.02E-67,0.998285831,0
gene-grtp1a|grtp1a,0.00917653,2.77E-10,0.000126477,1.53E-14,0.998285831,0
gene-adprhl1|adprhl1,NA,0.727455331,0.328639215,0.004585373,0.998285831,0.142236392
gene-cul4a|cul4a,0.001698569,0.395562836,0.061480663,0.67438541,0.998285831,0.036147822
gene-zgc:64072|zgc:64072,3.85E-05,2.88E-21,0.885898405,1.94E-31,0.998285831,0
gene-grk1a|grk1a,NA,0.434088254,0.362283884,0.069217055,0.998285831,0.466309073
gene-tfdp1b|tfdp1b,0.632017995,0.041261235,0.06503075,1.80E-05,0.998285831,0.00030483
gene-dcun1d2b|dcun1d2b,0.047200433,3.77E-15,0.987353334,2.96E-17,0.998285831,0
gene-tmco3|tmco3,0.437283177,0.000223339,0.486753752,5.61E-13,0.998285831,8.31E-12
gene-LOC108187164|LOC108187164,NA,0.69561795,0.476895088,0.351811909,0.998285831,0.980849311
gene-cenpe|cenpe,0.473976905,2.79E-05,3.05E-06,0.007887215,0.998285831,2.84E-08
gene-gas6|gas6,0.000758984,0.000126592,0.835882288,8.97E-19,0.998285831,0
gene-trmt10c|trmt10c,0.188745341,4.72E-22,0.604494151,3.08E-58,0.998285831,0
gene-blzf1|blzf1,0.872393151,5.07E-53,0.187018624,8.24E-201,0.998285831,0
gene-ercc5|ercc5,0.064012684,2.61E-08,0.395192942,0.295846257,0.772820877,4.73E-06
gene-rasa3|rasa3,0.06076164,1.14E-21,0.496893097,6.62E-35,0.998285831,0
gene-LOC100149425|LOC100149425,NA,0.701586227,0.054705734,0.008055229,0.244596453,0.026023298
gene-pros1|pros1,0.043969873,9.51E-47,0.766723228,6.95E-59,0.998285831,0
gene-tpp2|tpp2,0.357559171,0.518316746,0.1559245,1.31E-06,0.998285831,0.000358472
gene-cenpq|cenpq,0.263456578,4.53E-09,0.176924023,1.25E-16,0.998285831,0
gene-LOC101885604|LOC101885604,0.135357292,2.28E-05,0.938479097,4.24E-07,0.998285831,8.86E-08
gene-txnl4b|txnl4b,0.480378958,0.004299365,0.932238916,0.010456048,0.998285831,0.02950898
gene-mrpl16|mrpl16,0.070804118,9.65E-18,0.191403487,8.17E-48,0.998285831,0
gene-si:ch73-41e3.7|si:ch73-41e3.7,0.576053966,5.23E-15,0.299908906,6.03E-15,0.998285831,0
gene-jam2a|jam2a,0.137190356,0.458520563,0.775982059,0.000553668,0.998285831,0.035478869
gene-mrpl39|mrpl39,0.854972354,7.97E-18,0.440123874,3.62E-08,0.927052577,0
gene-atp5j|atp5j,0.00016908,0.937236393,0.020811945,0.611372951,0.998463915,0.006423692
