,gene_ID,average_log2FoldChange,adjpval
gene-si:zfos-1011f11.1,si:zfos-1011f11.1,-1.889481938,4.21E-05
gene-rasa3,rasa3,-2.387125992,0
gene-LOC100149425,LOC100149425,-3.210823607,0.026023298
gene-LOC101886071,LOC101886071,-4.206836315,3.45E-07
gene-runx1,runx1,-2.080882231,5.78E-05
gene-si:ch211-132g1.3,si:ch211-132g1.3,-1.538029021,0.020475586
gene-si:ch211-132g1.4,si:ch211-132g1.4,-2.793347433,6.00E-08
gene-slc5a3a,slc5a3a,-1.507977523,0.04566032
gene-si:ch211-132g1.7,si:ch211-132g1.7,-1.962596372,0.006116109
gene-mbnl2,mbnl2,-2.146730244,0
gene-rap2ab,rap2ab,-2.170499001,0.000199503
gene-gpc5a,gpc5a,-1.926093318,4.08E-16
gene-LOC103910100,LOC103910100,-2.410611416,1.53E-08
gene-mdh1b,mdh1b,-5.107857164,0
gene-mxb,mxb,-1.928672235,0
gene-si:dkey-79f11.10,si:dkey-79f11.10,-2.352857802,1.14E-07
gene-myo15ab,myo15ab,-2.043340996,0
gene-syngr3b,syngr3b,-2.394458928,1.61E-15
gene-si:ch211-160d14.6,si:ch211-160d14.6,-3.036831198,0
gene-fscn1b,fscn1b,-2.11229443,0.00015229
gene-si:ch73-191k20.1,si:ch73-191k20.1,1.934632993,0.007884099
gene-si:ch211-14k19.8,si:ch211-14k19.8,-1.637402355,8.01E-08
gene-LOC110439775,LOC110439775,-1.556306199,0.001440463
gene-micall2b,micall2b,1.661727106,0
gene-rgs11,rgs11,-1.833660386,9.58E-06
gene-si:dkeyp-75b4.9,si:dkeyp-75b4.9,-3.15457447,0.019528198
gene-si:dkeyp-75b4.10,si:dkeyp-75b4.10,-1.537970968,0
gene-tmem8a,tmem8a,-1.852662125,0
gene-LOC101884154,LOC101884154,-2.88855679,7.88E-06
gene-crfb15,crfb15,-2.899357891,0
gene-si:ch73-222h13.1,si:ch73-222h13.1,-4.32734279,0
gene-atp1b1b,atp1b1b,-1.8780725,0
gene-chst12b,chst12b,-1.961023671,0.000508822
gene-si:dkey-26i13.8,si:dkey-26i13.8,-3.696297355,0
gene-eif3bb,eif3bb,-1.818066514,2.01E-06
gene-snx8b,snx8b,-1.92491561,0.001263162
gene-grk4,grk4,-1.581818156,0
gene-slc24a2,slc24a2,-1.613081265,0
gene-LOC110439783,LOC110439783,-2.510904816,0
gene-b4galt1,b4galt1,-2.925269782,1.55E-10
gene-si:dkeyp-106c3.2,si:dkeyp-106c3.2,-2.268593268,0.008292005
gene-ank2a,ank2a,-1.508386548,0
gene-pde5aa,pde5aa,-1.535240226,2.18E-09
gene-crmp1,crmp1,-2.624519,3.17E-11
gene-slc34a2aas,slc34a2aas,-2.608038904,1.15E-12
gene-LOC100332745,LOC100332745,-3.356119898,2.55E-11
gene-LOC108189345,LOC108189345,-3.418300746,4.08E-16
gene-LOC103912018,LOC103912018,-2.110465556,0.021701552
gene-fat1a,fat1a,-1.997633769,8.46E-11
gene-pdlim3a,pdlim3a,-2.450531645,0.000191874
gene-mtnr1aa,mtnr1aa,3.53784049,3.13E-09
gene-LOC101886347,LOC101886347,-2.218689336,0
gene-tyrp1b,tyrp1b,-2.413868592,1.01E-10
gene-rbm47,rbm47,-2.178511933,0
gene-apela,apela,-1.840869672,1.36E-10
gene-spock3,spock3,-1.963905979,1.12E-07
gene-LOC101882260,LOC101882260,-3.078096523,0.001726669
gene-cpe,cpe,-3.446249131,2.38E-09
gene-chrnb3a,chrnb3a,-2.302655216,5.22E-05
gene-dnah6,dnah6,-3.877868476,0
gene-chrnb2a,chrnb2a,-1.748049954,0.025999389
gene-uchl1,uchl1,1.650770031,0
gene-smim14,smim14,1.643259293,0
gene-sfrp2,sfrp2,-2.046519413,0.001339095
gene-fgg,fgg,2.055887933,0.015358483
gene-lrata,lrata,-2.123980213,1.90E-07
gene-gucy1b3,gucy1b3,-2.704125459,3.00E-13
gene-mxd4,mxd4,-1.950939821,0
gene-LOC108185367,LOC108185367,-3.715002609,2.21E-06
gene-dnajb14,dnajb14,-1.725037084,1.23E-12
gene-ednrba,ednrba,-1.939165736,0.006707389
gene-gpm6ba,gpm6ba,-3.070114763,1.35E-07
gene-zgc:173948,zgc:173948,-2.094028611,0
gene-si:dkey-1h24.6,si:dkey-1h24.6,-1.845391345,0.000155711
gene-si:dkey-22o12.2,si:dkey-22o12.2,-2.560639089,9.24E-09
gene-igf2bp2b,igf2bp2b,-2.02430372,1.88E-09
gene-kcnq5b,kcnq5b,-1.714544778,4.76E-07
gene-LOC568486,LOC568486,-2.127321227,0.010039691
gene-fgf8b,fgf8b,-2.088204799,2.29E-08
gene-LOC101885607,LOC101885607,-3.690875607,1.37E-11
gene-nlgn4a,nlgn4a,-2.271583786,4.07E-13
gene-mxra5a,mxra5a,-2.071269191,3.65E-06
gene-arl13b,arl13b,-1.926435618,0
gene-klf5a,klf5a,-2.184240569,0.043468581
gene-smad1,smad1,-7.730425927,0.018585711
gene-tnip2,tnip2,-1.826843469,0
gene-LOC108190667,LOC108190667,-3.041084583,0.002140914
gene-si:dkeyp-13d11.2,si:dkeyp-13d11.2,-3.67282318,4.98E-11
gene-LOC101883466,LOC101883466,-3.047347022,9.09E-12
gene-sparcl1,sparcl1,-2.036678808,7.90E-06
gene-glra3,glra3,-2.794457496,2.87E-10
gene-gpm6ab,gpm6ab,-2.074355693,0
gene-sod3b,sod3b,-3.084073902,5.70E-08
gene-si:ch211-113e8.9,si:ch211-113e8.9,-2.521748536,0.000467483
gene-si:ch211-113e8.3,si:ch211-113e8.3,-3.923936543,6.59E-14
gene-vwa10.1,vwa10.1,-2.576035961,0
gene-htra3a,htra3a,-3.213392487,6.00E-11
gene-LOC108190121,LOC108190121,-8.254314524,4.13E-09
gene-clgn,clgn,-1.846766208,0
gene-cpz,cpz,-3.344722996,4.27E-08
gene-dtx4,dtx4,-1.856226236,0.001263162
gene-LOC565594,LOC565594,-3.273323069,0
gene-rnf24,rnf24,-2.59020883,0
gene-scpp6,scpp6,-3.441671355,0.013266291
gene-si:dkey-28b4.8,si:dkey-28b4.8,-1.93083749,0
gene-p2rx3b,p2rx3b,-1.510900678,1.29E-05
gene-si:dkey-9i23.14,si:dkey-9i23.14,-3.285370497,0
gene-tcirg1a,tcirg1a,-2.569361443,0
gene-cd5,cd5,-2.719320685,2.69E-05
gene-tmem132a,tmem132a,-3.274651899,5.09E-11
gene-muc13a,muc13a,-3.281806472,3.31E-12
gene-zgc:111983,zgc:111983,-1.923853171,0
gene-LOC110439860,LOC110439860,2.105433674,0.000699755
gene-LOC110439861,LOC110439861,2.441607297,0
gene-si:ch211-243a20.3,si:ch211-243a20.3,-2.585444119,1.72E-08
gene-emp1,emp1,-2.408019192,1.54E-05
gene-sept3,3-Sep,-3.152873559,0
gene-LOC103909155,LOC103909155,-3.002868351,5.50E-06
gene-map2k7,map2k7,-1.558119177,6.69E-05
gene-atp11a,atp11a,-3.604593997,0
